ASB,CVE,area,component,subcomponent,patch_level,android_id,type,severity,aosp_versions,patch_links,patch_files,vendor,references,tech_details,fix_details,notes,affected_silicon,cts_test,prior_patch_levels
2018-08,CVE-2018-9438,Platform,Framework,VPN,2018-08-01,A-78644887,DoS,High,8.1,N/A,"patches/android-8.1.0_r1/platform/frameworks/base/0002-DO-NOT-MERGE-Fix-ConnectivityController-meteredness-checks.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/base/0004-DO-NOT-MERGE-Add-unit-tests-to-ensure-VPN-meteredness.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/opt/telephony/0001-DO-NOT-MERGE-Update-ConnectivityServiceMock-for-VPN-metered.bulletin.patch,patches/android-8.1.0_r1/platform/packages/providers/DownloadProvider/0001-DO-NOT-MERGE-Update-DownloadProvider-for-correct-meterednes.bulletin.patch",N/A,N/A,"When a device connects only over WiFi VPN, the device may not receive security updates due to some incorrect checks. This could lead to a local denial of service of security updates with no additional execution privileges needed. User interaction is needed for exploitation.",The fix is designed to correct the checks that prevented connectivity over WiFi VPN.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9437,Platform,Media framework,libstagefright,2018-08-01,A-78656554,DoS,High,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/frameworks/av/0002-Fix-possible-out-of-bounds-read.bulletin.patch,patches/android-6.0.1_r20/platform/frameworks/av/0002-Fix-possible-out-of-bounds-read.bulletin.patch,patches/android-7.0.0_r1/platform/frameworks/av/0002-Fix-possible-out-of-bounds-read.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/av/0002-Fix-possible-out-of-bounds-read.bulletin.patch,patches/android-7.1.2_r5/platform/frameworks/av/0001-Fix-possible-out-of-bounds-read.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/av/0003-Fix-possible-out-of-bounds-read.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/av/0003-Fix-possible-out-of-bounds-read.bulletin.patch",N/A,N/A,In getstring of ID3.cpp there is a possible out-of-bounds read due to a missing bounds check. This could lead to remote denial of service with no additional execution privileges needed. User interaction is needed for exploitation.,"The fix is designed to add a check for zero, preventing the out of bounds read.",N/A,N/A,N/A,N/A
2018-08,CVE-2018-9436,Platform,System,Bluetooth,2018-08-01,A-79164722,ID,High,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/system/bt/0008-BNEP-Fix-OOB-access-in-bnep_data_ind.bulletin.patch,patches/android-6.0.1_r20/platform/system/bt/0008-BNEP-Fix-OOB-access-in-bnep_data_ind.bulletin.patch,patches/android-7.0.0_r1/platform/system/bt/0008-BNEP-Fix-OOB-access-in-bnep_data_ind.bulletin.patch,patches/android-7.0.0_r1/platform/system/bt/0009-DO-NOT-MERGE-BNEP-Fix-build-breakage-by-using-osi_free-inst.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0008-BNEP-Fix-OOB-access-in-bnep_data_ind.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0009-DO-NOT-MERGE-BNEP-Fix-build-breakage-by-using-osi_free-inst.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0008-BNEP-Fix-OOB-access-in-bnep_data_ind.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0009-DO-NOT-MERGE-BNEP-Fix-build-breakage-by-using-osi_free-inst.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0008-BNEP-Fix-OOB-access-in-bnep_data_ind.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0008-BNEP-Fix-OOB-access-in-bnep_data_ind.bulletin.patch",N/A,N/A,"In bnep_data_ind of bnep_main.cc, there is a possible out of bounds read due to a missing bounds check. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to fix the out-of-bounds access.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9439,Kernel,Kernel components,Network stack,N/A,A-79377438,EoP,Moderate,N/A,N/A,"code_snippets/ANDROID-79377438_1.zip,code_snippets/ANDROID-79377438_2.zip",Upstream Linux,N/A,"In __unregister_prot_hook and packet_release of af_packet.c, there is a possible use-after-free due to improper locking. This could lead to local escalation of privilege in the kernel with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to add locking.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-5904,Kernel,Qualcomm components,Power driver,N/A,A-79421260,EoP,Moderate,N/A,"https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit/?id=88b838c8952ec6414c72449ae15768d15d2606dd,https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=8e82c0d84ccee87309fd22f8208915f0ba502b26",N/A,Qualcomm,QC-CR#2184702 [2],"In cleanup_stats of lpm-stats.c, there is a possible heap memory corruption due to a use after free. This could lead to local escalation of privilege in the kernel with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to correct list handling in cleanup_stats.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-5905,Kernel,Qualcomm components,Diag driver,N/A,A-79421261,EoP,Moderate,N/A,https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit/?id=6eb2f4f6fde1b210712d6ac66b40b9e7684d77db,N/A,Qualcomm,QC-CR#2169715,"In diagchar_open of diagchar_core.c, there is a possible heap memory corruption due to improper locking. This could lead to local escalation of privilege in the kernel with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to correct locking in diagchar_open.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-5909,Kernel,Qualcomm components,Rotator,N/A,A-79421262,EoP,Moderate,N/A,https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit/?id=2c1716c5afd660651724b6088f2e6301272f4926,N/A,Qualcomm,QC-CR#2174716,"In sde_rot_evtlog_dump_read of sde_rotator_debug.c, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege in the kernel with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to check the input length.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-5383,Kernel,Qualcomm components,Bluetooth,2018-08-05,A-79421580,ID,High,N/A,N/A,N/A,Qualcomm,QC-CR#2209635,"In multiple functions of p_256_ecc_pp.cc, p_256_ecc_pp.h, smp_act.cc, stack_smp_test.cc, there is a possible man-in-the-middle attack due to improperly used crypto. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to validate remote elliptic curve points.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-5903,Kernel,Qualcomm components,qcacld 3.0,N/A,A-79421737,EoP,Moderate,N/A,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=20365fa599f42f6e1f175d9d5d60d964927c2160,N/A,Qualcomm,QC-CR#2185477,"In wma_vdev_stop_resp_handler of wma_dev_if.c, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to check that the vdev_id is not out of bounds.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-5910,Kernel,Qualcomm components,MDSS,N/A,A-79422277,EoP,Moderate,N/A,"https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=b67e04e3696f05411b7434c8b194895d273b00c5,https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit/?id=d9344c2f4b60cf5d4c747c11f3cb0b6f1558db78",N/A,Qualcomm,QC-CR#2175499 [2],"In mdss_xlog_dump_read of mdss_debug_xlog.c, there is a possible out-of-bounds write due to a missing bounds check. This could lead to local escalation of privilege in the kernel with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to check the bounds of the input.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-11263,Kernel,Qualcomm components,WLAN,N/A,A-79422278,EoP,Moderate,N/A,N/A,N/A,Qualcomm,QC-CR#2209106,"In wma_unified_radio_tx_power_level_stats_event_handler of wma_utils.c, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to appropriately bounds check data coming from the firmware.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-5908,Kernel,Qualcomm components,MDSS,N/A,A-79422409,EoP,Moderate,N/A,"https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=28e5918c60b832091c6b3618747258803cbd3302,https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit/?id=4689d03e5db548d263232c274bf307956207da27",N/A,Qualcomm,QC-CR#2171758 [2],"In mdss_dsi_cmd_state_read of mdss_dsi.c, there is a possible out of bounds write due to an incorrect bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to properly check that the copy_to_user will not write out of bounds.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9451,Platform,Framework,framework,2018-08-01,A-79488511,ID,High,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/frameworks/base/0002-ResStringPool-Prevenet-boot-loop-from-se-fix.bulletin.patch,patches/android-6.0.0_r1/platform/frameworks/base/0003-Fix-DynamicRefTable-load-security-bug.bulletin.patch,patches/android-6.0.1_r20/platform/frameworks/base/0002-ResStringPool-Prevenet-boot-loop-from-se-fix.bulletin.patch,patches/android-6.0.1_r20/platform/frameworks/base/0003-Fix-DynamicRefTable-load-security-bug.bulletin.patch,patches/android-7.0.0_r1/platform/frameworks/base/0003-ResStringPool-Prevenet-boot-loop-from-se-fix.bulletin.patch,patches/android-7.0.0_r1/platform/frameworks/base/0004-Fix-DynamicRefTable-load-security-bug.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/base/0003-ResStringPool-Prevenet-boot-loop-from-se-fix.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/base/0004-Fix-DynamicRefTable-load-security-bug.bulletin.patch,patches/android-7.1.2_r5/platform/frameworks/base/0003-ResStringPool-Prevenet-boot-loop-from-se-fix.bulletin.patch,patches/android-7.1.2_r5/platform/frameworks/base/0004-Fix-DynamicRefTable-load-security-bug.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/base/0004-ResStringPool-Prevenet-boot-loop-from-se-fix.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/base/0005-Fix-DynamicRefTable-load-security-bug.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/base/0006-Fix-DynamicRefTable-load-security-bug.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/base/0007-ResStringPool-Prevenet-boot-loop-from-se-fix.bulletin.patch",N/A,N/A,"In DynamicRefTable::load of ResourceTypes.cpp, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to validate the resource table header.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9450,Platform,System,Bluetooth,2018-08-01,A-79541338,RCE,Critical,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/system/bt/0010-DO-NOT-MERGE-Don-t-reuse-buffer-when-building-response.bulletin.patch,patches/android-6.0.1_r20/platform/system/bt/0010-DO-NOT-MERGE-Don-t-reuse-buffer-when-building-response.bulletin.patch,patches/android-7.0.0_r1/platform/system/bt/0011-DO-NOT-MERGE-Don-t-reuse-buffer-when-building-response.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0011-DO-NOT-MERGE-Don-t-reuse-buffer-when-building-response.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0011-DO-NOT-MERGE-Don-t-reuse-buffer-when-building-response.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0012-DO-NOT-MERGE-Don-t-reuse-buffer-when-building-response.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0012-DO-NOT-MERGE-Don-t-reuse-buffer-when-building-response.bulletin.patch",N/A,N/A,"In avrc_proc_vendor_command of avrc_api.cc, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to avoid improper reuse of a buffer.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9435,Platform,System,Bluetooth,N/A,A-79591688,ID,Moderate,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/system/bt/0003-GATT-Handle-too-short-Error-Response-PDU.bulletin.patch,patches/android-6.0.1_r20/platform/system/bt/0003-GATT-Handle-too-short-Error-Response-PDU.bulletin.patch,patches/android-7.0.0_r1/platform/system/bt/0003-GATT-Handle-too-short-Error-Response-PDU.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0003-GATT-Handle-too-short-Error-Response-PDU.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0004-GATT-Handle-too-short-Error-Response-PDU.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0004-GATT-Handle-too-short-Error-Response-PDU.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0003-GATT-Handle-too-short-Error-Response-PDU.bulletin.patch",N/A,N/A,"In gatt_process_error_rsp of gatt_cl.cc, there is a possible out of bound read due to a missing bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to add a bounds check.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9449,Platform,System,Bluetooth,N/A,A-79884292,ID,Moderate,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/system/bt/0002-Add-PDU-size-checks-in-process_service_search_attr_rsp.bulletin.patch,patches/android-6.0.1_r20/platform/system/bt/0002-Add-PDU-size-checks-in-process_service_search_attr_rsp.bulletin.patch,patches/android-7.0.0_r1/platform/system/bt/0002-Add-PDU-size-checks-in-process_service_search_attr_rsp.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0002-Add-PDU-size-checks-in-process_service_search_attr_rsp.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0003-Add-PDU-size-checks-in-process_service_search_attr_rsp.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0003-Add-PDU-size-checks-in-process_service_search_attr_rsp.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0004-Add-PDU-size-checks-in-process_service_search_attr_rsp.bulletin.patch",N/A,N/A,"In process_service_search_attr_rsp of sdp_discovery.cc, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to add bounds checks.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9448,Platform,System,Bluetooth,2018-08-01,A-79944113,ID,High,"8.0,8.1",N/A,"patches/android-8.0.0_r1/platform/system/bt/0010-Add-packet-length-check-for-received-AVCTP-packets.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0011-Add-BT_HDR-length-check-for-received-AVCTP-packets.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0010-Add-packet-length-check-for-received-AVCTP-packets.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0011-Add-BT_HDR-length-check-for-received-AVCTP-packets.bulletin.patch",N/A,N/A,"In avct_bcb_msg_ind of avct_bcb_act.cc, there is a possible out of bounds read due to a missing bounds check. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to add a header length check.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9447,Platform,System,EmergencyCallbackModeExitDialog,N/A,A-79995313,DoS,Moderate,"6.0,6.0.1,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/packages/services/Telephony/0003-DO-NOT-MERGE-Add-null-check-to-EmergencyCallbackModeExitDial.bulletin.patch,patches/android-6.0.1_r20/platform/packages/services/Telephony/0003-DO-NOT-MERGE-Add-null-check-to-EmergencyCallbackModeExitDial.bulletin.patch,patches/android-8.0.0_r1/platform/packages/services/Telephony/0003-Fix-potential-NPE-in-EmergencyCallbackModeExitDialog-.bulletin.patch,patches/android-8.1.0_r1/platform/packages/services/Telephony/0003-Fix-potential-NPE-in-EmergencyCallbackModeExitDialog-.bulletin.patch",N/A,N/A,"In onCreate of EmergencyCallbackModeExitDialog.java, there is a possible crash due to a missing null check. This could lead to local denial of service of phone calls with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to add a null check.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9446,Platform,System,Bluetooth,2018-08-01,A-80145946,RCE,Critical,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/system/bt/0004-DO-NOT-MERGE-SMP-Check-p_cb-role-in-smp_br_state_machine_e.bulletin.patch,patches/android-6.0.1_r20/platform/system/bt/0004-DO-NOT-MERGE-SMP-Check-p_cb-role-in-smp_br_state_machine_e.bulletin.patch,patches/android-7.0.0_r1/platform/system/bt/0004-DO-NOT-MERGE-SMP-Check-p_cb-role-in-smp_br_state_machine_e.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0004-DO-NOT-MERGE-SMP-Check-p_cb-role-in-smp_br_state_machine_e.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0005-DO-NOT-MERGE-SMP-Check-p_cb-role-in-smp_br_state_machine_e.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0006-DO-NOT-MERGE-SMP-Check-p_cb-role-in-smp_br_state_machine_e.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0006-DO-NOT-MERGE-SMP-Check-p_cb-role-in-smp_br_state_machine_e.bulletin.patch",N/A,N/A,"In smp_br_state_machine_event of smp_br_main.cc, there is a possible out of bounds write due to memory corruption. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to validate p_cb->role in smp_br_state_machine_event.,N/A,N/A,N/A,N/A
2018-08,CVE-2018-9445,Platform,Framework,vold,2018-08-01,A-80436257,EoP,High,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/external/e2fsprogs/0001-Ignore-quotes-in-safe_print-.bulletin.patch,patches/android-6.0.0_r1/platform/system/vold/0001-Require-quotes-when-searching-for-blkid-keys-.bulletin.patch,patches/android-6.0.1_r20/platform/external/e2fsprogs/0001-Ignore-quotes-in-safe_print-.bulletin.patch,patches/android-6.0.1_r20/platform/system/vold/0001-Require-quotes-when-searching-for-blkid-keys-.bulletin.patch,patches/android-7.0.0_r1/platform/external/e2fsprogs/0001-Ignore-quotes-in-safe_print-.bulletin.patch,patches/android-7.0.0_r1/platform/system/vold/0001-Require-quotes-when-searching-for-blkid-keys-.bulletin.patch,patches/android-7.1.1_r4/platform/external/e2fsprogs/0001-Ignore-quotes-in-safe_print-.bulletin.patch,patches/android-7.1.1_r4/platform/system/vold/0001-Require-quotes-when-searching-for-blkid-keys-.bulletin.patch,patches/android-7.1.2_r5/platform/external/e2fsprogs/0001-Ignore-quotes-in-safe_print-.bulletin.patch,patches/android-7.1.2_r5/platform/system/vold/0001-Require-quotes-when-searching-for-blkid-keys-.bulletin.patch,patches/android-8.0.0_r1/platform/external/e2fsprogs/0001-Ignore-quotes-in-safe_print-.bulletin.patch,patches/android-8.0.0_r1/platform/system/vold/0001-Merge-commit-635193ab36302e5f65e99c7df2f256cfd37068c7-into.bulletin.patch,patches/android-8.1.0_r1/platform/external/e2fsprogs/0001-Ignore-quotes-in-safe_print-.bulletin.patch,patches/android-8.1.0_r1/platform/system/vold/0001-Merge-commit-635193ab36302e5f65e99c7df2f256cfd37068c7-into.bulletin.patch",N/A,N/A,"In readMetadata of Utils.cpp, there is a possible path traversal bug due to a confused deputy. This could lead to local escalation of privilege when mounting a USB device with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to correctly escape quote characters in safe_print and require quote characters when searching for blkid keys.,N/A,N/A,N/A,N/A
